i,j,v
0x86924c37a93734e8611eb081238928a9d18a63c0,0x91031dcfdea024b4d51e775486111d2b2a715871,1
0x86924c37a93734e8611eb081238928a9d18a63c0,0x182327170fc284caaa5b1bc3e3878233f529d741,1
0x86924c37a93734e8611eb081238928a9d18a63c0,0xd7029bdea1c17493893aafe29aad69ef892b8ff2,1
0x86924c37a93734e8611eb081238928a9d18a63c0,0xa14b4c95b5247199d74c5578531b4887ca5e4909,1
0x86924c37a93734e8611eb081238928a9d18a63c0,0xb877f7bb52d28f06e60f557c00a56225124b357f,1
0x86924c37a93734e8611eb081238928a9d18a63c0,0x8fc5d6afe572fefc4ec153587b63ce543f6fa2ea,1
0x91031dcfdea024b4d51e775486111d2b2a715871,0x86924c37a93734e8611eb081238928a9d18a63c0,1
0x182327170fc284caaa5b1bc3e3878233f529d741,0x86924c37a93734e8611eb081238928a9d18a63c0,1
0x91031dcfdea024b4d51e775486111d2b2a715871,0xd7029bdea1c17493893aafe29aad69ef892b8ff2,1
0x91031dcfdea024b4d51e775486111d2b2a715871,0xa14b4c95b5247199d74c5578531b4887ca5e4909,1
0x91031dcfdea024b4d51e775486111d2b2a715871,0xb877f7bb52d28f06e60f557c00a56225124b357f,1
0x91031dcfdea024b4d51e775486111d2b2a715871,0x8fc5d6afe572fefc4ec153587b63ce543f6fa2ea,1
0x182327170fc284caaa5b1bc3e3878233f529d741,0xd7029bdea1c17493893aafe29aad69ef892b8ff2,1
0x182327170fc284caaa5b1bc3e3878233f529d741,0xa14b4c95b5247199d74c5578531b4887ca5e4909,1
0x182327170fc284caaa5b1bc3e3878233f529d741,0xb877f7bb52d28f06e60f557c00a56225124b357f,1
0x182327170fc284caaa5b1bc3e3878233f529d741,0x8fc5d6afe572fefc4ec153587b63ce543f6fa2ea,1
0x91031dcfdea024b4d51e775486111d2b2a715871,0xea384b570a23e806a38148e87e6177028afdbae5,1
0x182327170fc284caaa5b1bc3e3878233f529d741,0xea384b570a23e806a38148e87e6177028afdbae5,1
0x91031dcfdea024b4d51e775486111d2b2a715871,0x4685bb0077179b45095a3c2a175acd9b3cd59d1c,1
0x182327170fc284caaa5b1bc3e3878233f529d741,0x4685bb0077179b45095a3c2a175acd9b3cd59d1c,1
0x91031dcfdea024b4d51e775486111d2b2a715871,0x888b4bee0f8dff4e7269811e066a1de6438cbf7a,1
0x182327170fc284caaa5b1bc3e3878233f529d741,0x888b4bee0f8dff4e7269811e066a1de6438cbf7a,1
0x91031dcfdea024b4d51e775486111d2b2a715871,0x17cd072cbd45031efc21da538c783e0ed3b25dcc,1
0x182327170fc284caaa5b1bc3e3878233f529d741,0x17cd072cbd45031efc21da538c783e0ed3b25dcc,1
0x91031dcfdea024b4d51e775486111d2b2a715871,0x7a75789832c4fc67edea0dc8aee186af4d1248b3,1
0x182327170fc284caaa5b1bc3e3878233f529d741,0x7a75789832c4fc67edea0dc8aee186af4d1248b3,1
0x91031dcfdea024b4d51e775486111d2b2a715871,0xddc898f7a73f8b7c1d999b4739ec73e00bd1ba13,1
0x182327170fc284caaa5b1bc3e3878233f529d741,0xddc898f7a73f8b7c1d999b4739ec73e00bd1ba13,1
0x91031dcfdea024b4d51e775486111d2b2a715871,0x5e349eca2dc61abcd9dd99ce94d04136151a09ee,1
0x182327170fc284caaa5b1bc3e3878233f529d741,0x5e349eca2dc61abcd9dd99ce94d04136151a09ee,1
0x91031dcfdea024b4d51e775486111d2b2a715871,0xa44e4ef6235fbd9e068d3c84159af523ee93b2e6,1
0x182327170fc284caaa5b1bc3e3878233f529d741,0xa44e4ef6235fbd9e068d3c84159af523ee93b2e6,1
0x91031dcfdea024b4d51e775486111d2b2a715871,0x125e3f048012172e7510780be635c4ac56b5bf0f,1
0x182327170fc284caaa5b1bc3e3878233f529d741,0x125e3f048012172e7510780be635c4ac56b5bf0f,1
0x91031dcfdea024b4d51e775486111d2b2a715871,0x6c8213a8e2fb62cce56a102771dc205d8c25a223,1
0x182327170fc284caaa5b1bc3e3878233f529d741,0x6c8213a8e2fb62cce56a102771dc205d8c25a223,1
0x91031dcfdea024b4d51e775486111d2b2a715871,0x9857b0a1ef07bca713866c9a7d1215e69ad9f443,1
0x182327170fc284caaa5b1bc3e3878233f529d741,0x9857b0a1ef07bca713866c9a7d1215e69ad9f443,1
0x91031dcfdea024b4d51e775486111d2b2a715871,0x9d363fc4bc4d94c135d004f84ca5a44643ffb816,1
0x91031dcfdea024b4d51e775486111d2b2a715871,0x73526226a883d78b81ad98981767ae00b629fb48,1
0x182327170fc284caaa5b1bc3e3878233f529d741,0x9d363fc4bc4d94c135d004f84ca5a44643ffb816,1
0x182327170fc284caaa5b1bc3e3878233f529d741,0x73526226a883d78b81ad98981767ae00b629fb48,1
0x91031dcfdea024b4d51e775486111d2b2a715871,0x769e89e63eeeb94c4e80c3609cc4bbcecf30735e,1
0x182327170fc284caaa5b1bc3e3878233f529d741,0x769e89e63eeeb94c4e80c3609cc4bbcecf30735e,1
0x91031dcfdea024b4d51e775486111d2b2a715871,0xa148a9efeff814dee02efdf04046ea9f72aced9b,1
0x182327170fc284caaa5b1bc3e3878233f529d741,0xa148a9efeff814dee02efdf04046ea9f72aced9b,1
0x91031dcfdea024b4d51e775486111d2b2a715871,0x5b76f5b8fc9d700624f78208132f91ad4e61a1f0,1
0x182327170fc284caaa5b1bc3e3878233f529d741,0x5b76f5b8fc9d700624f78208132f91ad4e61a1f0,1
0x91031dcfdea024b4d51e775486111d2b2a715871,0x6cd21149041f81d640c2a292402b2318cbf5ad04,1
0x182327170fc284caaa5b1bc3e3878233f529d741,0x6cd21149041f81d640c2a292402b2318cbf5ad04,1
0x91031dcfdea024b4d51e775486111d2b2a715871,0x06a00800139e964854c2fa2f414f6b71b62e00a7,1
0x182327170fc284caaa5b1bc3e3878233f529d741,0x06a00800139e964854c2fa2f414f6b71b62e00a7,1
0x91031dcfdea024b4d51e775486111d2b2a715871,0x416e0c10a3760a35f1891455f30e415e96fbd779,1
0x182327170fc284caaa5b1bc3e3878233f529d741,0x416e0c10a3760a35f1891455f30e415e96fbd779,1
0x91031dcfdea024b4d51e775486111d2b2a715871,0xe7925d190aea9279400cd9a005e33ceb9389cc2b,1
0x182327170fc284caaa5b1bc3e3878233f529d741,0xe7925d190aea9279400cd9a005e33ceb9389cc2b,1
0x91031dcfdea024b4d51e775486111d2b2a715871,0xe11bfcbdd43745d4aa6f4f18e24ad24f4623af04,1
0x182327170fc284caaa5b1bc3e3878233f529d741,0xe11bfcbdd43745d4aa6f4f18e24ad24f4623af04,1
0x91031dcfdea024b4d51e775486111d2b2a715871,0xb9354777fd3019df43fa36a85e76ee3fe2f8bc35,1
0x182327170fc284caaa5b1bc3e3878233f529d741,0xb9354777fd3019df43fa36a85e76ee3fe2f8bc35,1
0x91031dcfdea024b4d51e775486111d2b2a715871,0xb618a21f95aa6c9c4281db442857f50d2c5d44f7,1
0x91031dcfdea024b4d51e775486111d2b2a715871,0x7800be67f419f0fdabefb6021b02b09fefea2500,1
0x182327170fc284caaa5b1bc3e3878233f529d741,0xb618a21f95aa6c9c4281db442857f50d2c5d44f7,1
0x182327170fc284caaa5b1bc3e3878233f529d741,0x7800be67f419f0fdabefb6021b02b09fefea2500,1
0x91031dcfdea024b4d51e775486111d2b2a715871,0x808a2adbd0a3fc679e3f7cd18d4f579bfcaaec9c,1
0x182327170fc284caaa5b1bc3e3878233f529d741,0x808a2adbd0a3fc679e3f7cd18d4f579bfcaaec9c,1
0x91031dcfdea024b4d51e775486111d2b2a715871,0x4d7268fca5b83aada73dabb1e947137d9a479bef,1
0x182327170fc284caaa5b1bc3e3878233f529d741,0x4d7268fca5b83aada73dabb1e947137d9a479bef,1
0x91031dcfdea024b4d51e775486111d2b2a715871,0x833d5ff0c9fb17cd311d3d6a247601a36c8e0176,1
0x182327170fc284caaa5b1bc3e3878233f529d741,0x833d5ff0c9fb17cd311d3d6a247601a36c8e0176,1
0x91031dcfdea024b4d51e775486111d2b2a715871,0xd881ccc93b9eaa70989af79d4a1141e9ee5679dd,1
0x182327170fc284caaa5b1bc3e3878233f529d741,0xd881ccc93b9eaa70989af79d4a1141e9ee5679dd,1
0x91031dcfdea024b4d51e775486111d2b2a715871,0x0916c04994849c676ab2667ce5bbdf7ccc94310a,1
0x182327170fc284caaa5b1bc3e3878233f529d741,0x0916c04994849c676ab2667ce5bbdf7ccc94310a,1
0x91031dcfdea024b4d51e775486111d2b2a715871,0xb8281e1982ae4208d15cac84a9ce6e4e07ddfb53,1
0x182327170fc284caaa5b1bc3e3878233f529d741,0xb8281e1982ae4208d15cac84a9ce6e4e07ddfb53,1
0x91031dcfdea024b4d51e775486111d2b2a715871,0xaa17acffbbf0fcfc5a2af4b8ff300ca480a90113,1
0x182327170fc284caaa5b1bc3e3878233f529d741,0xaa17acffbbf0fcfc5a2af4b8ff300ca480a90113,1
0x91031dcfdea024b4d51e775486111d2b2a715871,0x3fdd45957421fa9b58d2686cadaa7d25fcc7c4c4,1
0x182327170fc284caaa5b1bc3e3878233f529d741,0x3fdd45957421fa9b58d2686cadaa7d25fcc7c4c4,1
0x91031dcfdea024b4d51e775486111d2b2a715871,0xcc60b2f01469941178bb6ae8cd31b3f54122bc83,1
0x182327170fc284caaa5b1bc3e3878233f529d741,0xcc60b2f01469941178bb6ae8cd31b3f54122bc83,1
0x91031dcfdea024b4d51e775486111d2b2a715871,0x78ab747d6675ab1dfee31d0bfb6862124565aefc,1
0x182327170fc284caaa5b1bc3e3878233f529d741,0x78ab747d6675ab1dfee31d0bfb6862124565aefc,1
0x91031dcfdea024b4d51e775486111d2b2a715871,0xad02382703a8ade9040f66a4f4a43a52b3b77e35,1
0x182327170fc284caaa5b1bc3e3878233f529d741,0xad02382703a8ade9040f66a4f4a43a52b3b77e35,1
0x91031dcfdea024b4d51e775486111d2b2a715871,0xc2baf6cdbeebe932d545dfb1802c81f721432566,1
0x182327170fc284caaa5b1bc3e3878233f529d741,0xc2baf6cdbeebe932d545dfb1802c81f721432566,1
0x91031dcfdea024b4d51e775486111d2b2a715871,0xeddeb70d30032f3c18e6bd13319c2363fd2b3ed6,1
0x182327170fc284caaa5b1bc3e3878233f529d741,0xeddeb70d30032f3c18e6bd13319c2363fd2b3ed6,1
0x91031dcfdea024b4d51e775486111d2b2a715871,0xdc40cbf86727093c52582405703e5b97d5c64b66,1
0x182327170fc284caaa5b1bc3e3878233f529d741,0xdc40cbf86727093c52582405703e5b97d5c64b66,1
0x91031dcfdea024b4d51e775486111d2b2a715871,0xf0de87c640a9648b662e9df4fb7533e26583ce2c,1
0x182327170fc284caaa5b1bc3e3878233f529d741,0xf0de87c640a9648b662e9df4fb7533e26583ce2c,1
0x91031dcfdea024b4d51e775486111d2b2a715871,0x03b79c0c1487a68aeabd9aa4ce779dad77855f52,1
0x182327170fc284caaa5b1bc3e3878233f529d741,0x03b79c0c1487a68aeabd9aa4ce779dad77855f52,1
0x91031dcfdea024b4d51e775486111d2b2a715871,0x7032c9a9a3c0c09a35c3d07c38f99b008e8d7f88,1
0x182327170fc284caaa5b1bc3e3878233f529d741,0x7032c9a9a3c0c09a35c3d07c38f99b008e8d7f88,1
0x91031dcfdea024b4d51e775486111d2b2a715871,0xcb46219ba114245c3a18761e4f7891f9c4bef8c0,1
0x182327170fc284caaa5b1bc3e3878233f529d741,0xcb46219ba114245c3a18761e4f7891f9c4bef8c0,1
